Supplementary Table 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c) Mean responses; spontaneous firing rate has been subtracted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AgOr1 ,AgOr2  ,AgOr3  ,AgOr4  ,AgOr5  ,AgOr6  ,AgOr8  ,AgOr9  ,AgOr10  ,AgOr11  ,AgOr12  ,AgOr13  ,AgOr15  ,AgOr16  ,AgOr18  ,AgOr20  ,AgOr21  ,AgOr23  ,AgOr25  ,AgOr26  ,AgOr27  ,AgOr30  ,AgOr31  ,AgOr32  ,AgOr33  ,AgOr35  ,AgOr38  ,AgOr39  ,AgOr41  ,AgOr42  ,AgOr43  ,AgOr44  ,AgOr45  ,AgOr46  ,AgOr48  ,AgOr50  ,AgOr53  ,AgOr54  ,AgOr56  ,AgOr57  ,AgOr59  ,AgOr61  ,AgOr63  ,AgOr64  ,AgOr65  ,AgOr66  ,AgOr67  ,AgOr73  ,AgOr75  ,AgOr76  
ammonia,-1,1,0,1,2,3,6,0,1,5,-2,1,2,0,4,1,8,-1,2,1,0,3,4,-6,-4,-5,-3,3,-9,-2,-14,0,-4,51,-2,10,2,-11,2,0,-1,-2,2,-7,0,-3,-6,-5,-4,4
putrescine,-7,2,-3,1,-3,3,2,3,-1,7,4,0,3,0,0,5,3,1,-2,0,1,2,-5,-1,-4,-13,-1,0,-5,-2,-3,-4,-6,11,1,0,1,-11,-3,-4,0,-2,2,-3,-10,-6,-2,1,-4,-2
cadaverine,-6,1,-2,3,-1,2,8,-3,-1,0,1,0,6,0,-5,0,-1,0,0,0,5,2,2,-1,-4,-14,-2,0,-5,2,-8,-5,-4,10,-5,0,-1,-16,-3,-8,4,-1,5,1,2,-7,-6,-2,-5,1
gamma-decalactone,2,4,3,1,6,-1,-5,1,1,-2,-1,0,1,0,4,3,0,3,1,0,4,-6,3,4,1,2,3,1,0,1,1,3,2,0,18,2,3,2,-2,4,0,0,-1,3,5,0,5,2,1,-4
delta-decalactone,2,1,1,0,1,1,0,-2,-2,-4,0,3,1,0,-4,4,1,1,1,0,3,-4,2,-1,-1,0,0,0,-3,-1,2,-3,1,0,23,-4,1,-6,-1,1,-2,4,1,-2,1,-1,6,-1,-1,2
acetic-acid,-4,1,2,5,1,-1,-2,3,4,0,-2,-2,2,0,1,-1,-1,8,-3,-2,2,0,0,1,-10,-5,2,0,-5,-9,-11,-5,-1,28,4,22,-1,-7,1,0,1,1,6,-1,1,-14,-8,1,-4,0
propanoic-acid,-6,4,-3,6,1,2,-5,2,4,-4,-8,-1,0,0,3,-4,3,1,-11,3,1,2,2,0,-17,-20,-7,5,-16,-4,-9,-3,-3,40,-2,35,-2,-26,4,-3,-6,-1,-4,-5,4,-19,-9,2,-9,0
butanoic-acid,-6,-4,-4,6,0,1,-4,2,-3,0,-2,-3,2,-1,-5,7,11,-1,-8,1,4,-1,9,-7,-11,-9,-3,7,-10,-5,-14,3,-6,39,-2,40,0,-29,-2,-2,-6,4,1,0,-2,-12,-14,3,-1,1
pentanoic-acid,-2,4,2,8,0,0,1,0,-2,2,1,-3,4,0,2,6,3,0,4,1,3,0,7,6,0,-1,-1,17,-2,1,-5,0,-2,46,0,24,1,0,3,4,7,2,0,3,0,-1,-10,-1,1,1
hexanoic-acid,-7,7,-3,11,-9,4,-4,7,-1,2,6,-7,24,2,4,-4,1,1,-11,4,12,0,-1,-5,-16,-15,-4,31,-11,-11,-21,-10,-8,4,-5,7,-1,-21,-12,1,-6,0,0,-7,-2,-13,-17,-6,-12,0
heptanoic-acid,1,2,4,3,7,-1,-2,0,0,1,3,-1,1,0,0,-1,1,0,-1,4,1,4,6,4,-1,0,3,-1,1,-2,-7,0,0,0,0,9,1,0,-3,-2,3,0,-2,-3,0,1,-2,-2,2,0
octanoic-acid,-8,0,1,-1,-6,1,-4,0,0,2,-4,1,1,-1,-4,-5,2,2,-3,2,-2,1,0,-1,-9,-10,-6,-2,-5,-2,-10,-2,-5,0,-2,2,-1,-10,-6,0,-7,1,4,-4,0,-7,-4,-4,-6,0
nonanoic-acid,-5,3,0,1,-2,3,-2,-7,1,10,-2,-1,-1,0,0,-5,4,-1,-1,0,0,5,2,0,-5,-3,-2,4,-2,-1,-8,-2,0,-1,0,3,1,-11,-2,0,-2,1,0,-2,1,1,-2,2,-4,2
decanoic-acid,0,9,3,2,0,1,1,-2,-2,-1,0,1,2,0,4,-2,-1,0,1,-1,-1,1,3,1,-3,-3,0,1,-1,0,-11,3,-3,1,1,9,1,-2,2,6,-3,-1,-2,1,-6,2,0,-2,-1,2
dodecanoic-acid,-1,-3,3,2,3,0,-1,-3,-1,-2,1,-2,3,3,5,3,0,2,1,1,2,1,1,0,1,1,2,-1,0,0,3,0,1,4,-1,7,2,0,4,2,-2,0,-1,0,3,2,1,2,1,-3
